"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://player.vimeo.com/video/401291729?dnt=1&app_id=122963","text/html;charset=UTF-8","401","Unauthorized","Non-Indexable","Client Error","0","0.453","",""
"https://player.vimeo.com/video/401288149?dnt=1&app_id=122963","text/html;charset=UTF-8","401","Unauthorized","Non-Indexable","Client Error","0","0.377","",""
"https://anydesk.com/en","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.141","",""
"https://player.vimeo.com/video/401292998?dnt=1&app_id=122963","text/html;charset=UTF-8","401","Unauthorized","Non-Indexable","Client Error","0","0.525","",""
