"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Iframe","https://nmgtechnologies.com/blog/working-from-home-during-the-coronavirus-lockdown","https://player.vimeo.com/video/401291729?dnt=1&app_id=122963","5141","","","401","Unauthorized","true","","","Absolute","//body/div[1]/main/div/div[@class='content-wrapper'][1]/article/div[@class='blog-post__body-wrapper']/div[@class='blog-post__body']/span/div[5]/div/iframe","Content","HTML"
"Iframe","https://nmgtechnologies.com/blog/working-from-home-during-the-coronavirus-lockdown","https://player.vimeo.com/video/401288149?dnt=1&app_id=122963","5141","","","401","Unauthorized","true","","","Absolute","//body/div[1]/main/div/div[@class='content-wrapper'][1]/article/div[@class='blog-post__body-wrapper']/div[@class='blog-post__body']/span/div[4]/div/iframe","Content","HTML"
"Hyperlink","https://nmgtechnologies.com/blog/working-from-home-during-the-coronavirus-lockdown","https://anydesk.com/en","0","","AnyDesk","403","Forbidden","true","_blank","noopener noreferrer","Absolute","//body/div[1]/main/div/div[@class='content-wrapper'][1]/article/div[@class='blog-post__body-wrapper']/div[@class='blog-post__body']/span/p[73]/a","Content","HTML"
"Iframe","https://nmgtechnologies.com/blog/working-from-home-during-the-coronavirus-lockdown","https://player.vimeo.com/video/401292998?dnt=1&app_id=122963","5141","","","401","Unauthorized","true","","","Absolute","//body/div[1]/main/div/div[@class='content-wrapper'][1]/article/div[@class='blog-post__body-wrapper']/div[@class='blog-post__body']/span/div[7]/div/iframe","Content","HTML"
